answer,feedback,target
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,bad,4
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
right,bad,4
right,good,6
right,good,6
right,average,5
right,good,6
wrong,good,3
right,average,5
right,average,5
right,average,5
right,average,5
right,average,5
right,average,5
right,average,5
right,good,6
right,good,6
wrong,bad,1
wrong,bad,1
right,average,5
right,good,6
right,good,6
wrong,good,3
wrong,good,3
wrong,average,2
right,average,5
right,average,5
right,average,5
right,bad,4
right,good,6
right,good,6
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,bad,4
right,bad,4
right,good,6
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,good,6
wrong,good,3
wrong,good,3
wrong,good,3
right,good,6
wrong,good,3
right,average,5
right,good,6
right,good,6
wrong,good,3
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,average,5
wrong,average,2
right,bad,4
right,average,5
right,average,5
right,good,6
wrong,average,2
right,average,5
wrong,average,2
wrong,average,2
right,average,5
right,average,5
right,average,5
right,bad,4
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
wrong,bad,1
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,bad,4
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
wrong,good,3
right,good,6
wrong,good,3
wrong,good,3
wrong,good,3
right,average,5
wrong,average,2
right,average,5
right,good,6
right,good,6
wrong,bad,1
right,good,6
right,good,6
wrong,bad,1
right,good,6
right,good,6
right,good,6
right,average,5
wrong,bad,1
right,bad,4
right,bad,4
wrong,average,2
right,good,6
right,bad,4
wrong,bad,1
right,bad,4
right,good,6
right,bad,4
right,average,5
right,average,5
right,good,6
right,average,5
wrong,average,2
right,average,5
right,good,6
wrong,bad,1
wrong,bad,1
right,average,5
right,bad,4
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
wrong,average,2
right,bad,4
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,bad,1
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,average,5
right,good,6
wrong,good,3
right,good,6
wrong,average,2
right,bad,4
wrong,average,2
right,average,5
right,average,5
right,bad,4
wrong,average,2
wrong,average,2
right,good,6
wrong,bad,1
wrong,good,3
right,good,6
right,bad,4
right,average,5
right,average,5
right,average,5
right,good,6
right,good,6
right,average,5
right,average,5
right,average,5
right,average,5
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
right,good,6
wrong,average,2
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
right,average,5
right,average,5
right,average,5
wrong,average,2
right,average,5
wrong,average,2
wrong,good,3
right,average,5
wrong,average,2
right,average,5
right,average,5
wrong,good,3
right,good,6
right,good,6
right,average,5
right,average,5
right,average,5
wrong,good,3
wrong,average,2
right,average,5
right,average,5
right,good,6
right,average,5
right,average,5
wrong,average,2
right,good,6
wrong,good,3
wrong,good,3
right,average,5
right,average,5
wrong,good,3
right,bad,4
right,bad,4
right,average,5
wrong,good,3
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,good,6
wrong,bad,1
wrong,good,3
right,good,6
right,good,6
right,bad,4
right,average,5
right,good,6
right,good,6
right,good,6
right,bad,4
right,good,6
right,good,6
wrong,good,3
right,good,6
right,average,5
right,good,6
right,good,6
wrong,good,3
wrong,good,3
wrong,good,3
wrong,good,3
wrong,good,3
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
right,bad,4
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,average,5
right,average,5
right,good,6
right,good,6
wrong,average,2
right,good,6
right,good,6
right,good,6
wrong,bad,1
right,good,6
wrong,good,3
wrong,good,3
wrong,bad,1
right,good,6
right,good,6
right,good,6
right,good,6
wrong,average,2
wrong,good,3
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,good,6
right,good,6
right,good,6
right,average,5
wrong,average,2
wrong,bad,1
right,average,5
right,average,5
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,average,5
right,good,6
right,bad,4
right,bad,4
right,bad,4
right,average,5
right,good,6
right,good,6
right,good,6
right,bad,4
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
wrong,average,2
right,average,5
right,average,5
wrong,average,2
right,average,5
right,average,5
wrong,good,3
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,average,5
wrong,good,3
right,good,6
wrong,bad,1
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,good,6
right,bad,4
right,bad,4
right,average,5
right,good,6
wrong,good,3
wrong,good,3
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
wrong,average,2
right,bad,4
right,bad,4
right,good,6
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,average,2
right,good,6
wrong,good,3
right,good,6
right,bad,4
wrong,good,3
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,bad,4
wrong,good,3
wrong,good,3
right,good,6
wrong,good,3
wrong,good,3
right,good,6
right,good,6
wrong,good,3
wrong,average,2
wrong,average,2
wrong,average,2
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
wrong,average,2
right,average,5
right,good,6
right,good,6
right,average,5
right,average,5
wrong,average,2
right,good,6
wrong,good,3
right,good,6
right,good,6
right,bad,4
right,good,6
right,good,6
right,good,6
wrong,bad,1
right,average,5
right,average,5
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,good,6
right,good,6
right,average,5
right,good,6
wrong,good,3
right,bad,4
wrong,good,3
right,good,6
right,good,6
right,good,6
right,bad,4
right,bad,4
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,good,6
right,average,5
right,good,6
wrong,good,3
wrong,good,3
right,average,5
wrong,average,2
wrong,good,3
right,good,6
wrong,bad,1
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
right,bad,4
right,bad,4
wrong,good,3
right,average,5
right,bad,4
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
right,bad,4
right,good,6
right,good,6
right,average,5
wrong,average,2
right,average,5
wrong,average,2
right,good,6
right,good,6
right,good,6
right,average,5
right,average,5
right,average,5
right,average,5
right,bad,4
right,good,6
right,good,6
right,average,5
right,good,6
right,bad,4
right,bad,4
wrong,bad,1
right,average,5
right,bad,4
right,bad,4
wrong,good,3
right,average,5
right,good,6
wrong,good,3
wrong,good,3
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
right,bad,4
wrong,good,3
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,bad,4
right,average,5
wrong,average,2
right,average,5
wrong,average,2
right,good,6
right,good,6
right,bad,4
right,bad,4
right,good,6
wrong,average,2
right,average,5
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
wrong,good,3
right,good,6
right,average,5
right,good,6
right,bad,4
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
right,good,6
right,good,6
wrong,bad,1
right,good,6
wrong,good,3
right,good,6
right,average,5
wrong,average,2
wrong,average,2
wrong,good,3
wrong,good,3
right,bad,4
wrong,good,3
right,good,6
right,good,6
right,average,5
wrong,average,2
right,good,6
wrong,good,3
right,average,5
wrong,average,2
right,average,5
wrong,good,3
right,bad,4
wrong,bad,1
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,average,5
wrong,good,3
right,good,6
right,bad,4
right,good,6
right,good,6
right,average,5
wrong,average,2
wrong,average,2
right,average,5
wrong,average,2
right,average,5
right,good,6
wrong,good,3
right,bad,4
right,average,5
wrong,good,3
right,good,6
right,bad,4
right,average,5
right,good,6
right,bad,4
wrong,bad,1
right,average,5
right,good,6
right,good,6
right,good,6
right,bad,4
right,average,5
right,average,5
right,average,5
right,good,6
right,bad,4
wrong,bad,1
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
wrong,good,3
wrong,good,3
wrong,good,3
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,good,6
right,average,5
right,good,6
right,good,6
wrong,good,3
wrong,average,2
wrong,good,3
right,average,5
wrong,good,3
right,good,6
right,good,6
right,bad,4
right,bad,4
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
right,bad,4
wrong,good,3
wrong,good,3
right,good,6
right,good,6
wrong,average,2
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,bad,1
right,good,6
wrong,good,3
right,bad,4
wrong,good,3
wrong,good,3
wrong,good,3
right,average,5
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,bad,4
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
right,good,6
right,average,5
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
wrong,good,3
right,good,6
wrong,good,3
wrong,good,3
right,average,5
right,average,5
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,average,5
right,average,5
wrong,average,2
wrong,average,2
wrong,average,2
right,average,5
right,average,5
right,average,5
right,bad,4
right,good,6
wrong,average,2
wrong,average,2
wrong,good,3
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
wrong,bad,1
wrong,good,3
wrong,good,3
wrong,good,3
right,average,5
right,average,5
right,bad,4
right,bad,4
wrong,average,2
right,good,6
right,good,6
right,average,5
wrong,average,2
right,average,5
right,average,5
right,bad,4
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,average,5
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,good,6
right,bad,4
right,bad,4
right,good,6
right,average,5
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,good,6
wrong,average,2
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
wrong,good,3
wrong,good,3
wrong,good,3
right,bad,4
right,bad,4
wrong,bad,1
wrong,good,3
right,average,5
right,average,5
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
right,average,5
right,average,5
right,bad,4
right,bad,4
right,bad,4
right,average,5
right,average,5
right,average,5
right,average,5
right,average,5
right,average,5
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
right,bad,4
wrong,bad,1
right,good,6
right,bad,4
right,bad,4
right,average,5
right,average,5
right,bad,4
right,bad,4
wrong,bad,1
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
wrong,good,3
right,good,6
right,average,5
right,average,5
right,good,6
wrong,average,2
right,average,5
wrong,average,2
right,average,5
right,average,5
right,good,6
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,bad,4
right,average,5
right,average,5
right,average,5
right,average,5
wrong,average,2
right,average,5
right,average,5
right,average,5
right,bad,4
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
right,average,5
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,average,5
right,average,5
right,average,5
right,average,5
right,average,5
right,average,5
right,average,5
wrong,average,2
right,average,5
right,average,5
wrong,bad,1
right,bad,4
right,average,5
wrong,average,2
wrong,bad,1
right,bad,4
wrong,good,3
right,average,5
wrong,average,2
right,average,5
wrong,average,2
right,average,5
right,average,5
right,average,5
wrong,average,2
right,average,5
wrong,average,2
wrong,average,2
right,average,5
right,good,6
wrong,bad,1
right,bad,4
wrong,average,2
wrong,good,3
right,average,5
right,average,5
right,average,5
wrong,good,3
right,average,5
wrong,average,2
right,average,5
right,good,6
right,good,6
right,average,5
right,average,5
right,bad,4
right,bad,4
right,bad,4
right,bad,4
wrong,good,3
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
right,good,6
wrong,good,3
right,good,6
right,bad,4
right,bad,4
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,average,5
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,bad,1
right,good,6
wrong,good,3
right,bad,4
right,bad,4
wrong,good,3
right,good,6
right,good,6
right,average,5
wrong,good,3
right,good,6
right,good,6
right,good,6
right,average,5
right,average,5
right,average,5
right,good,6
right,bad,4
right,good,6
wrong,good,3
right,good,6
right,good,6
right,bad,4
right,good,6
right,good,6
right,good,6
wrong,bad,1
right,bad,4
right,good,6
wrong,good,3
right,average,5
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
right,average,5
right,average,5
right,good,6
right,good,6
right,bad,4
right,average,5
wrong,average,2
right,good,6
wrong,good,3
wrong,good,3
right,good,6
right,good,6
wrong,average,2
right,average,5
right,average,5
right,average,5
right,bad,4
right,bad,4
right,average,5
wrong,average,2
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
wrong,bad,1
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
wrong,average,2
right,average,5
right,bad,4
right,bad,4
right,good,6
right,bad,4
right,good,6
right,average,5
right,average,5
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,bad,4
wrong,good,3
wrong,good,3
wrong,good,3
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
right,bad,4
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
right,average,5
right,average,5
right,good,6
right,bad,4
right,bad,4
right,good,6
right,good,6
right,average,5
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
wrong,good,3
wrong,bad,1
right,good,6
right,good,6
right,good,6
wrong,bad,1
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,bad,4
right,bad,4
right,bad,4
right,good,6
right,average,5
right,good,6
right,good,6
right,bad,4
right,good,6
right,good,6
right,good,6
right,bad,4
right,bad,4
wrong,average,2
right,average,5
right,good,6
right,good,6
right,good,6
wrong,bad,1
right,bad,4
right,good,6
right,good,6
right,good,6
wrong,good,3
right,bad,4
wrong,good,3
right,good,6
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,bad,4
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,average,2
right,bad,4
right,good,6
right,good,6
wrong,good,3
right,good,6
right,bad,4
right,bad,4
right,good,6
wrong,good,3
right,good,6
right,good,6
right,average,5
right,good,6
wrong,good,3
right,average,5
wrong,average,2
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
right,average,5
right,average,5
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,average,5
wrong,average,2
wrong,good,3
right,average,5
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,average,5
wrong,average,2
right,good,6
wrong,good,3
right,average,5
wrong,average,2
right,bad,4
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,average,5
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,good,6
right,average,5
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
right,average,5
right,average,5
right,average,5
right,average,5
right,average,5
right,good,6
right,good,6
right,good,6
wrong,bad,1
right,good,6
wrong,good,3
right,bad,4
wrong,good,3
right,good,6
wrong,good,3
right,average,5
wrong,average,2
wrong,good,3
wrong,good,3
right,bad,4
right,average,5
right,bad,4
right,average,5
right,average,5
right,average,5
right,good,6
wrong,good,3
right,average,5
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
right,bad,4
right,good,6
wrong,good,3
right,bad,4
right,bad,4
wrong,bad,1
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
wrong,good,3
wrong,good,3
right,good,6
right,average,5
right,bad,4
right,bad,4
right,bad,4
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
wrong,average,2
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,average,2
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
wrong,bad,1
right,bad,4
wrong,average,2
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
wrong,good,3
wrong,good,3
right,good,6
right,good,6
right,bad,4
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
wrong,good,3
right,good,6
wrong,good,3
right,average,5
right,good,6
wrong,good,3
right,good,6
wrong,average,2
wrong,average,2
right,good,6
wrong,good,3
wrong,good,3
wrong,average,2
right,average,5
wrong,good,3
right,average,5
right,average,5
wrong,average,2
right,bad,4
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
wrong,average,2
right,good,6
right,good,6
wrong,bad,1
right,average,5
right,good,6
right,good,6
right,average,5
wrong,average,2
wrong,bad,1
right,bad,4
right,good,6
right,good,6
wrong,bad,1
right,bad,4
wrong,good,3
right,average,5
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,average,2
wrong,average,2
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,bad,4
right,good,6
right,good,6
right,average,5
right,good,6
wrong,good,3
right,good,6
right,good,6
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,good,6
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
wrong,average,2
wrong,good,3
wrong,good,3
wrong,good,3
right,bad,4
right,good,6
right,good,6
right,good,6
wrong,good,3
wrong,good,3
right,good,6
wrong,good,3
wrong,good,3
wrong,good,3
right,good,6
right,good,6
wrong,bad,1
right,good,6
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
right,good,6
right,good,6
right,average,5
wrong,bad,1
right,average,5
right,average,5
right,good,6
wrong,average,2
right,average,5
right,good,6
wrong,average,2
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
wrong,good,3
right,average,5
right,good,6
wrong,good,3
wrong,good,3
wrong,average,2
wrong,average,2
wrong,good,3
right,good,6
right,average,5
wrong,good,3
wrong,good,3
right,average,5
right,bad,4
wrong,good,3
wrong,good,3
wrong,average,2
right,average,5
wrong,average,2
wrong,average,2
wrong,average,2
right,average,5
wrong,average,2
right,average,5
right,average,5
right,bad,4
right,average,5
wrong,average,2
right,average,5
wrong,bad,1
right,average,5
right,average,5
right,good,6
right,good,6
wrong,average,2
wrong,average,2
right,good,6
right,average,5
right,good,6
right,good,6
right,average,5
right,good,6
right,bad,4
right,bad,4
right,good,6
right,good,6
right,average,5
wrong,bad,1
right,bad,4
right,average,5
wrong,good,3
right,good,6
right,good,6
right,average,5
right,average,5
wrong,average,2
right,average,5
right,good,6
right,average,5
right,average,5
right,average,5
right,bad,4
right,good,6
wrong,good,3
right,bad,4
right,average,5
right,bad,4
wrong,average,2
right,average,5
right,good,6
wrong,average,2
right,average,5
wrong,good,3
right,bad,4
right,average,5
right,average,5
right,good,6
right,average,5
wrong,average,2
right,average,5
right,average,5
wrong,average,2
right,average,5
wrong,average,2
right,average,5
right,good,6
right,average,5
right,good,6
right,good,6
right,average,5
wrong,bad,1
right,bad,4
right,good,6
right,good,6
right,good,6
right,good,6
right,bad,4
right,bad,4
right,average,5
right,average,5
right,good,6
wrong,good,3
right,good,6
right,good,6
right,good,6
right,average,5
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
right,good,6
